MsgID.LOCAL_VELOCITY,1526390824.3949518,0.0000068,-0.0000040,0.0000185
MsgID.GLOBAL_POSITION,1526390824.3951280,-122.3974515,37.7924807,-0.0400000
MsgID.LOCAL_VELOCITY,1526390824.3951280,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3952901,0.0386505,0.1557632,0.0411091
MsgID.LOCAL_VELOCITY,1526390824.3952901,0.0000058,-0.0000262,0.0000107
MsgID.GLOBAL_HOME,1526390824.3955090,-122.3974533,37.7924804,0.0000000
MsgID.STATE,1526390824.3957329,True,True
MsgID.GLOBAL_POSITION,1526390824.3959429,-122.3974509,37.7924812,-0.0460000
MsgID.LOCAL_VELOCITY,1526390824.3959429,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3961630,0.0839713,0.2112688,0.0464271
MsgID.LOCAL_VELOCITY,1526390824.3961630,0.0000027,-0.0000027,0.0000129
MsgID.GLOBAL_POSITION,1526390824.3963609,-122.3974500,37.7924797,-0.0320000
MsgID.LOCAL_VELOCITY,1526390824.3963609,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3965299,-0.0772014,0.2934641,0.0326421
MsgID.LOCAL_VELOCITY,1526390824.3965299,0.0000004,-0.0000180,0.0000180
MsgID.GLOBAL_POSITION,1526390824.3967080,-122.3974499,37.7924798,-0.0070000
MsgID.LOCAL_VELOCITY,1526390824.3967080,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3968699,-0.0661950,0.2945479,0.0072034
MsgID.LOCAL_VELOCITY,1526390824.3968699,0.0000389,-0.0000128,0.0000214
MsgID.GLOBAL_POSITION,1526390824.3970492,-122.3974495,37.7924799,0.0270000
MsgID.LOCAL_VELOCITY,1526390824.3970492,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3972139,-0.0523032,0.3300029,-0.0302004
MsgID.LOCAL_VELOCITY,1526390824.3972139,0.0000112,-0.0000043,0.0000173
MsgID.STATE,1526390824.3974662,True,True
MsgID.GLOBAL_HOME,1526390824.3976908,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1526390824.3978391,-122.3974510,37.7924799,0.0610000
MsgID.LOCAL_VELOCITY,1526390824.3978391,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3980050,-0.0621962,0.1983438,-0.0623436
MsgID.LOCAL_VELOCITY,1526390824.3980050,0.0000100,-0.0000159,0.0000178
MsgID.GLOBAL_POSITION,1526390824.3981838,-122.3974506,37.7924798,0.0870000
MsgID.LOCAL_VELOCITY,1526390824.3981838,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3983459,-0.0702483,0.2378419,-0.0874710
MsgID.LOCAL_VELOCITY,1526390824.3983459,-0.0000257,-0.0000034,0.0000170
